track_id,playlist_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
0g2Bbgy7P41pFjMWJuzsf4,37i9dQZF1DX0XUsuxWHRQd,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby),0.718,0.461,4,-7.676,0,0.0797,0,0.283,0.181,129.953,178176,4,hip hop
1oc92BMKYkNxK17C2GtyRM,37i9dQZF1DX0XUsuxWHRQd,Polo G,Distraction,Distraction,0.713,0.689,11,-5.99,1,0.255,0,0.136,0.63,156.934,171319,4,chicago rap
32ny2YtiR7zKi7PBjiQ5Iy,37i9dQZF1DX0XUsuxWHRQd,Roddy Ricch,The Big 3,Real Talk,0.789,0.71,5,-6.165,0,0.0681,0,0.112,0.188,138.033,183187,4,melodic rap
1fz22sUZlpL9jZOWz02wws,37i9dQZF1DX0XUsuxWHRQd,Lil Durk,7220 (Deluxe),Hear It Back (feat. Moneybagg Yo),0.766,0.485,4,-8.343,0,0.237,0,0.436,0.289,140.055,134908,4,chicago drill
7N17JE5sPConOSeEIC5AnS,37i9dQZF1DX0XUsuxWHRQd,Lil Uzi Vert,I KNOW,I KNOW,0.821,0.726,1,-5.767,1,0.156,0,0.0564,0.757,134.977,192137,4,melodic rap
3uJFmluXzYedoJcvhpC1AW,37i9dQZF1DX0XUsuxWHRQd,Cardi B,Hot Shit (feat. Ye & Lil Durk),Hot Shit (feat. Ye & Lil Durk),0.878,0.685,9,-5.28,1,0.225,0,0.0753,0.523,157.003,211649,4,dance pop
1YWE7cMqo4iVNdPTpH4Khj,37i9dQZF1DX0XUsuxWHRQd,Future,I NEVER LIKED YOU,712PM,0.711,0.686,5,-6.409,0,0.271,0,0.124,0.536,146.971,173187,4,atl hip hop
0ehikRZdaCWkqg5gd8ilMJ,37i9dQZF1DX0XUsuxWHRQd,Young Dolph,Hall of Fame,Hall of Fame,0.86,0.69,1,-5.807,1,0.185,0,0.162,0.331,137.01,238333,4,hip hop
60PTOzcoFycWBICdumIsFQ,37i9dQZF1DX0XUsuxWHRQd,Lil Uzi Vert,RED & WHITE,FOR FUN,0.775,0.461,7,-6.594,0,0.124,0,0.0687,0.131,134.028,188060,4,melodic rap
6nrPRHGdz1ytpX2ZBZ4RGU,37i9dQZF1DX0XUsuxWHRQd,Internet Money,We All We Got,Falsetto (feat. Lil Tecca),0.763,0.687,6,-6.306,0,0.28,0,0.119,0.203,131.05,135573,4,pop
0iPb0dxCtjFcmFa2ElfBJ5,37i9dQZF1DX0XUsuxWHRQd,Offset,54321,54321,0.934,0.694,9,-4.455,0,0.175,0,0.239,0.464,129.028,182326,4,atl hip hop
5EeFkn825wcD3q2Tkk2vCu,37i9dQZF1DX0XUsuxWHRQd,Gucci Mane,Dissin the Dead,Dissin the Dead,0.666,0.632,11,-8.72,0,0.123,0,0.35,0.127,129.956,228922,3,atl hip hop
2jCQXY0zjBdSpp12egn0Wo,37i9dQZF1DX0XUsuxWHRQd,DJ Drama,I Ain’t Gon Hold Ya,I Ain’t Gon Hold Ya,0.857,0.839,1,-3.585,1,0.284,0,0.179,0.637,110.008,139370,4,dirty south rap
1vrFJDrysqmsNAgyjBzx4f,37i9dQZF1DX0XUsuxWHRQd,Hitkidd,F.N.F. (Let's Go),F.N.F. (Let's Go),0.864,0.476,1,-10.068,1,0.436,0,0.374,0.647,157.144,137580,4,memphis hip hop
5cx7vkF8BQ0iOsVpfvZbnz,37i9dQZF1DX0XUsuxWHRQd,SleazyWorld Go,Sleazy Flow (Remix),Sleazy Flow (with Lil Baby) - Remix,0.869,0.298,2,-12.076,1,0.386,0,0.0753,0.178,77.47,161355,4,unknown
1QPreu0BNOrUfEb8HTd2qG,37i9dQZF1DX0XUsuxWHRQd,Kendrick Lamar,Mr. Morale & The Big Steppers,Rich Spirit,0.852,0.421,10,-9.153,0,0.208,2.28e-06,0.106,0.457,95.977,202285,4,conscious hip hop
